type,client,tx,amount
deposit,1,1,100.0
deposit,2,2,200.0
deposit,1,3,50.0
withdrawal,1,4,25.0
withdrawal,2,5,300.0
deposit,3,6,75.5
withdrawal,3,7,25.25
dispute,1,1,
resolve,1,1,
deposit,4,8,1000.0
dispute,4,8,
chargeback,4,8,
deposit,5,9,500.0
withdrawal,5,10,100.0
dispute,5,9,
deposit,6,11,250.3333
withdrawal,6,12,50.1111
dispute,6,11,
resolve,6,11,
deposit,7,13,100.0
deposit,7,14,200.0
dispute,7,13,
withdrawal,7,15,150.0
resolve,7,13,
withdrawal,8,16,50.0
deposit,8,17,25.0
dispute,2,2,
withdrawal,2,18,50.0
resolve,2,2,
withdrawal,2,19,100.0
